STREET,CITY,ZIP CODE,ZIP+4,ADDRESS,LATS,LONGS,NAME,FILING_REQ_CD,EIN,ASSET_CD,TAX_PERIOD,NTEE_CD,PF_FILING_REQ_CD,REVENUE_AMT,SUBSECTION,ACTIVITY,ORGANIZATION,STATUS,FOUNDATION,ICO,CLASSIFICATION,INCOME_AMT,STATE,ACCT_PD,ASSET_AMT,SORT_NAME,AFFILIATION,DEDUCTIBILITY,RULING_YEAR,RULING_MONTH,INCOME_CD
894 LOGGERS CIR,ROCHESTER,48307,6025,"894 LOGGERS CIR, ROCHESTER , MI, 48307",42.692393,-83.103407,SOCIAL PHILANTHROPISTS FOUNDATION,2,270248527,0,201212,P12,0,0,3,0,1,1,15,% ROBERT RAY,1000,0,MI,12,0,,3,1,2010,1,0
1304 MCLEAN AVE,ROYAL OAK,48067,3493,"1304 MCLEAN AVE, ROYAL OAK , MI, 48067",42.4790622,-83.1263218,GIVING HOPE AND NURTURING ABROAD,2,270820584,0,201312,P12,0,0,3,0,1,1,15,% SHARON WALLACE,1000,0,MI,12,0,,3,1,2010,1,0
845 SHADY LN,AU GRES,48703,9753,"845 SHADY LN, AU GRES , MI, 48703",44.1110052,-83.5660402,RIFF RAFF CREW INC,2,270842143,0,201312,P12,0,0,3,0,1,1,16,% JENNIFER HORTON,1000,0,MI,12,0,,3,1,2010,4,0
10445 FARMBROOK DR,BRIGHTON,48114,7585,"10445 FARMBROOK DR, BRIGHTON , MI, 48114",42.5246916,-83.7468865,ZEBRAS CARE CHARITIES INC,2,271087599,0,201308,P12,0,0,3,0,1,1,15,% DAN OHALLORAN,1000,0,MI,8,0,,3,1,2010,5,0
29130 MARIMOOR DR,SOUTHFIELD,48076,1613,"29130 MARIMOOR DR, SOUTHFIELD , MI, 48076",42.502203,-83.246939,LOVE FUNDS,2,272530081,0,201209,P12,0,0,3,0,1,1,15,,1000,0,MI,9,0,,3,1,2011,4,0
996 WILLIAMS DR,QUINCY,49082,9654,"996 WILLIAMS DR, QUINCY , MI, 49082",41.9204706,-84.8907305,UCT COLDWATER COUNCIL 452 CHARITIES INC,2,273993156,0,201303,P12,0,0,3,0,1,1,15,% GLENN SUEVER,1000,0,MI,3,0,,3,1,2011,7,0
PO BOX 255,OAKLEY,48649,255,"PO BOX 255, OAKLEY , MI, 48649",43.1397481,-84.1680305,OAKLEY BIKE RUN ASSOCIATION,2,352344610,0,201312,P12,0,0,3,0,5,1,15,% CAROL PERRY,1000,0,MI,12,0,,3,1,2011,7,0
3261 ORCHARD LAKE RD,KEEGO HARBOR,48320,1316,"3261 ORCHARD LAKE RD, KEEGO HARBOR , MI, 48320",42.602574,-83.348094,GIVING NOTE,2,352368291,0,201212,P12,0,0,3,0,1,1,15,% ABIZER RASHEED,1000,0,MI,12,0,,3,1,2009,10,0
22509 KELLY RD,ROSEVILLE,48066,0,"22509 KELLY RD, ROSEVILLE , MI, 48066",42.4638404,-82.9282676,LIONS DISTRICT 11-A2 PROJECT KIDSIGHT INC,2,364567091,0,201306,P12,0,0,3,0,1,1,15,% KAY FURBY,1000,0,MI,6,0,,3,1,2005,3,0
9126 FARLEY RD,PINCKNEY,48169,9148,"9126 FARLEY RD, PINCKNEY , MI, 48169",42.465732,-83.9132018,INTERNATIONAL BURN FOUNDATION INC,2,383315485,0,201312,P12,0,0,3,994927602,1,1,15,% CLEMENT CHARBONEAU,1000,0,MI,12,0,,3,1,2012,10,0
1225 ALINE DR,GROSSE POINTE,48236,1228,"1225 ALINE DR, GROSSE POINTE , MI, 48236",42.447123,-82.892899,DOUG BLANCHARD MEMORIAL FOUNDATION,2,383416182,0,201312,P12,0,0,3,0,1,1,15,% JACQUELINE NANNINI,1000,0,MI,12,0,,3,1,1999,2,0
8274 ROBINDALE AVE,DEARBORN HTS,48127,1209,"8274 ROBINDALE AVE, DEARBORN HTS , MI, 48127",42.351868,-83.2847929,SABRINAS VOICE,2,454477521,0,201312,P12,0,0,3,0,1,1,15,% JOHN EASA,1000,0,MI,12,0,,3,1,2013,8,0
46929 MAGELLAN,WIXOM,48393,3699,"46929 MAGELLAN, WIXOM , MI, 48393",42.5060069,-83.513513,IGNITE A BETTER WORLD FOUNDATION,2,460744136,0,201312,P12,0,0,3,0,1,1,15,% MARY MCGOUGH,1000,0,MI,12,0,,3,1,2014,2,0
5110 HICKORY POINTE BLVD,YPSILANTI,48197,6817,"5110 HICKORY POINTE BLVD, YPSILANTI , MI, 48197",42.214839,-83.660478,BUY THE CHANGE FOUNDATION,2,461025974,0,201312,P12,0,0,3,0,1,1,15,% KIM LAZARZ,1000,0,MI,12,0,,3,1,2013,6,0
37467 CASA BELLA CT,CLINTON TWP,48036,3655,"37467 CASA BELLA CT, CLINTON TWP , MI, 48036",42.5722433,-82.9543722,SKIP SUPPORTING KIDS IN PAIN,2,462144106,0,201312,P12,0,0,3,0,1,1,15,% SARAH MAISANO,1000,0,MI,12,0,,3,1,2014,6,0
3091 MEYERS DR,MUSKEGON,49442,1664,"3091 MEYERS DR, MUSKEGON , MI, 49442",43.2518049,-86.1662482,MUSKEGON GUNS AND HOSES,2,462792275,0,201312,P12,0,0,3,0,5,1,15,% LACEY A KOENS,1000,0,MI,12,0,,3,1,2013,8,0
6560 BETHUY RD,IRA,48023,1810,"6560 BETHUY RD, IRA , MI, 48023",42.704972,-82.714339,MULTI TALENTED GROUP,2,542172726,0,201312,P12,0,0,3,0,1,1,15,% THOMAS JUBB,1000,0,MI,12,0,,3,1,2011,9,0
471 W SHAWNEE RD,BARODA,49101,9775,"471 W SHAWNEE RD, BARODA , MI, 49101",41.944791,-86.465451,BERRIEN FAMILIES PLUS INC,2,770663186,1,201312,P12,0,0,3,0,1,1,15,% GARY CAMPBELL,1000,3200,MI,12,3766,,3,1,2007,6,1
4712 LAKESHORE RD,BOYNE CITY,49712,9752,"4712 LAKESHORE RD, BOYNE CITY , MI, 49712",45.2195732,-85.0714189,COMPASSIONATE HEARTS,2,861141044,0,201312,P12,0,0,3,0,1,1,15,% SALLY PASQUE,1000,0,MI,12,0,,3,1,2008,12,0
7858 DARMON PL,CENTRAL LAKE,49622,9422,"7858 DARMON PL, CENTRAL LAKE , MI, 49622",45.076234,-85.26286,CENTRAL LAKE LIONS CLUB CHARITIES,2,731678927,1,201306,P12,0,9,3,0,1,1,16,% CLAUDE L BLAMER,1000,9,MI,6,6279,,3,1,2003,11,1
920 S HARRISON RD,EAST LANSING,48823,5164,"920 S HARRISON RD, EAST LANSING , MI, 48823",42.724165,-84.49435,ISGL ENDOWMENT FUND,2,453569672,1,201312,P12,0,100,3,0,1,1,15,% KHAWAJA M IKRAM,1000,100,MI,12,100,,3,1,2012,7,1
PO BOX 8211,KENTWOOD,49518,8211,"PO BOX 8211, KENTWOOD , MI, 49518",42.9862014,-85.625085,GOD S VISION FOR HAITI,2,271184841,3,201312,P12,0,4203,3,0,1,1,15,% JONA & LUSKA LAZARRE,1000,4203,MI,12,30547,,3,1,2013,3,1
PO BOX 182393,SHELBY TWP,48318,2393,"PO BOX 182393, SHELBY TWP , MI, 48318",42.6259407,-83.0271679,STEELHORSE RIDERS MC,2,262443989,1,201312,P12,0,5904,3,0,1,1,16,% DANIEL MASER,1000,5904,MI,12,1359,,3,1,2009,4,1
21716 HOMER ST,DEARBORN,48124,2927,"21716 HOMER ST, DEARBORN , MI, 48124",42.3001476,-83.2424249,MACK AND THIRD,2,454230177,3,201312,P12,0,17350,3,0,1,1,15,% ANN CLARK,1000,17350,MI,12,61814,,3,1,2012,3,2
30277 LORRAINE AVE,WARREN,48093,8010,"30277 LORRAINE AVE, WARREN , MI, 48093",42.516563,-83.018383,WARTHOGS MC SOUTHERN MACOMB CHAPTER,2,264649058,1,201312,P12,0,22832,3,0,1,1,16,% JOSEPH SCIORTINO,1000,22832,MI,12,6772,,3,1,2010,10,2
950 W UNIVERSITY DR,ROCHESTER,48307,1888,"950 W UNIVERSITY DR, ROCHESTER , MI, 48307",42.682126,-83.145331,CRAUN FREEMAN CHARITABLE FOUNDATION,2,260449921,1,201312,P12,0,24075,3,0,1,1,15,% JEFFREY P FREEMAN,1000,24075,MI,12,6333,,3,1,2007,9,2
21800 PONTIAC TRL STE 300,SOUTH LYON,48178,7400,"21800 PONTIAC TRL STE 300, SOUTH LYON , MI, 48178",42.441075,-83.649181,OXFORD HBOT KIDS,1,271548184,3,201212,P12,0,34186,3,0,1,1,15,% TAMELA POWELL,1000,53771,MI,12,28252,,3,1,2010,12,3
2751 E JEFFERSON AVE STE 301,DETROIT,48207,4100,"2751 E JEFFERSON AVE STE 301, DETROIT , MI, 48207",42.339704,-83.020319,AIDS WALK MICHIGAN INC,2,383568283,1,201212,P12,0,41373,3,0,1,1,15,% BARBARA A MURRAY,1000,41373,MI,12,814,,3,1,2001,5,3
PO BOX 255,LAKE ORION,48361,255,"PO BOX 255, LAKE ORION , MI, 48361",42.791194,-83.247228,LAKE ORION LIONS CLUB CHARITIES INC,1,383633253,2,201306,P12,0,43088,3,0,1,1,15,% BILL SIVER,1000,93091,MI,6,15560,,3,1,2002,1,3
PO BOX 342,ANN ARBOR,48106,342,"PO BOX 342, ANN ARBOR , MI, 48106",42.2721528,-83.7754758,CHILDREN WAITING EVERYWHERE INC,2,203049487,2,201312,P12,0,46033,3,0,1,1,15,% NAOMI CORRERA,1000,46033,MI,12,10201,,3,1,2006,7,3
32310 SHREWSBURY ST,FARMINGTN HLS,48334,1639,"32310 SHREWSBURY ST, FARMINGTN HLS , MI, 48334",42.524164,-83.344044,HEART 2 HART DETROIT INC,1,460910053,1,201308,P12,0,65152,3,0,1,1,15,,1000,65152,MI,8,3626,,3,1,2013,8,3
